,0
genomes,1.0
trimodal,1.0
motifs,1.0
Clementine,1.0
bimodal,1.0
postpruning,1.0
undersampling,1.0
multimodal,1.0
AVA,1.0
BLAST,1.0
treemaps,1.0
MineSet,1.0
extractors,1.0
PROCLUS,1.0
WordNet,1.0
Wikipedia,1.0
StatSoft,1.0
neurodes,1.0
CRM,1.0
editing method,0.7721518987341772
shapelets method,0.7721518987341772
randomization methods,0.7721518987341772
inferential statistics,0.7468354430379747
patterns,0.7341772151898734
Baum-Welch algorithm,0.7341772151898734
base cells,0.7215189873417721
instances,0.6708860759493671
ﬁeld overloading,0.6708860759493671
metrics,0.6582278481012658
inconvertible constraints,0.6582278481012658
generalized relations,0.6455696202531646
pattern constraints,0.6455696202531646
microeconomic view,0.6329113924050633
closed patterns,0.6329113924050633
reduced support,0.6329113924050633
pattern discovery,0.6329113924050633
max patterns,0.6329113924050633
Viterbi algorithm,0.620253164556962
pyramid algorithm,0.620253164556962
IR,0.6075949367088608
colossal patterns,0.5949367088607594
cluster analysis,0.5822784810126582
inductive databases,0.5822784810126582
binning,0.5822784810126582
decision tree analysis,0.5822784810126582
data segmentation,0.569620253164557
bagging,0.569620253164557
binary attributes,0.569620253164557
decision trees,0.5569620253164557
load,0.5569620253164557
expectation-maximization,0.5569620253164557
factor analysis,0.5443037974683544
k-anonymity method,0.5443037974683544
variant graph patterns,0.5443037974683544
Bayes’ theorem,0.5443037974683544
negative tuples,0.5316455696202531
categorical attributes,0.5316455696202531
case-based reasoning,0.5189873417721519
RIPPER,0.5189873417721519
confusion matrix,0.5189873417721519
attributes,0.5063291139240507
DIANA,0.5063291139240507
rare patterns,0.5063291139240507
COP k-means algorithm,0.5063291139240507
data scrubbing tools,0.5063291139240507
structural patterns,0.49367088607594933
superset checking,0.49367088607594933
frequency patterns,0.49367088607594933
data preprocessing,0.4810126582278481
relevance analysis,0.4810126582278481
link prediction,0.4810126582278481
ubiquitous data mining,0.46835443037974683
CHAID,0.46835443037974683
lift,0.46835443037974683
intradimensional association rules,0.46835443037974683
attribute vectors,0.46835443037974683
outlier subgraphs,0.45569620253164556
partitioning,0.45569620253164556
cells,0.45569620253164556
time-series forecasting,0.4430379746835443
negatively skewed data,0.4430379746835443
trimmed mean,0.43037974683544306
DBSCAN,0.43037974683544306
data mining,0.43037974683544306
item skipping,0.43037974683544306
data,0.43037974683544306
outliers,0.4177215189873418
cube gradient analysis,0.4177215189873418
classiﬁcation,0.4177215189873418
semi-supervised outlier detection,0.4177215189873418
nominal attributes,0.4177215189873418
data auditing tools,0.4050632911392405
Divisive Analysis,0.4050632911392405
sales campaign analysis,0.3924050632911392
cotraining,0.3924050632911392
percentiles,0.3924050632911392
pivot,0.3924050632911392
continuous attributes,0.3924050632911392
BUC,0.3924050632911392
Pareto distribution,0.3924050632911392
mixture models,0.3924050632911392
spatiotemporal data mining,0.37974683544303794
collective outlier detection,0.37974683544303794
global outliers,0.37974683544303794
working relations,0.37974683544303794
data classiﬁcation,0.37974683544303794
core patterns,0.37974683544303794
shared-partitions,0.37974683544303794
connectionist learning,0.37974683544303794
contextual attributes,0.3670886075949367
discrepancy detection,0.3670886075949367
outlier analysis,0.3670886075949367
decision tree induction,0.35443037974683544
numeric prediction,0.35443037974683544
Agglomerative Nesting,0.35443037974683544
false negatives,0.35443037974683544
e-commerce,0.34177215189873417
cube shells,0.34177215189873417
angle-based outlier detection,0.34177215189873417
data objects,0.34177215189873417
grouping attributes,0.34177215189873417
bitmapped join indexing,0.34177215189873417
geographic data warehouses,0.34177215189873417
sampling cubes,0.34177215189873417
support vectors,0.3291139240506329
compressed patterns,0.3291139240506329
monotonic constraints,0.3291139240506329
data warehouses,0.3291139240506329
cluster samples,0.3291139240506329
data focusing,0.3291139240506329
data cleaning,0.3291139240506329
global constants,0.3291139240506329
sensitivity analysis,0.3291139240506329
unordered attributes,0.31645569620253167
IF-THEN rules,0.31645569620253167
CBLOF,0.31645569620253167
association analysis,0.31645569620253167
graph pattern mining,0.31645569620253167
collective outliers,0.31645569620253167
integrated data warehouses,0.3037974683544304
samples,0.3037974683544304
sampling,0.3037974683544304
databases,0.3037974683544304
cube space,0.3037974683544304
outlier detection,0.3037974683544304
prediction cubes,0.2911392405063291
phylogenetic trees,0.2911392405063291
descendant cells,0.2911392405063291
redundancy,0.2911392405063291
document classiﬁcation,0.2911392405063291
discernibility matrix,0.2911392405063291
representative patterns,0.2911392405063291
data reduction,0.2911392405063291
statistical databases,0.2911392405063291
hard constraints,0.2911392405063291
evaluation metrics,0.2911392405063291
ancestor cells,0.27848101265822783
bin boundaries,0.27848101265822783
subspaces,0.27848101265822783
proximity-based methods,0.27848101265822783
multifeature cubes,0.27848101265822783
waterfall method,0.27848101265822783
negative correlation,0.27848101265822783
temporal data,0.26582278481012656
schemas,0.26582278481012656
frequent patterns,0.26582278481012656
interactive data mining,0.26582278481012656
documents,0.26582278481012656
true negatives,0.26582278481012656
pattern space pruning,0.26582278481012656
numeric attributes,0.26582278481012656
subcube queries,0.26582278481012656
Pattern-Fusion,0.26582278481012656
data matrix,0.26582278481012656
densiﬁcation power law,0.25316455696202533
virtual warehouses,0.25316455696202533
ratio-scaled attributes,0.25316455696202533
sparse data,0.25316455696202533
market basket analysis,0.25316455696202533
data transformation,0.25316455696202533
