,0
AVA,1.0
Synonyms,1.0
corpusname,1.0
OVA,1.0
Feelings,1.0
IUF,1.0
Kolmogorov axioms,0.8275862068965517
Compact clusters,0.7586206896551724
Tight clusters,0.7586206896551724
Presupposition in NLP,0.7241379310344828
Gibbs sampling,0.7241379310344828
reset command,0.6896551724137931
Incremental crawling,0.6896551724137931
NLTK toolkit,0.6551724137931034
Stanford NLP toolkit,0.6551724137931034
Sensors,0.6551724137931034
Compression,0.6551724137931034
Illinois NLP Curator toolkit,0.6206896551724138
Magazine output,0.5862068965517241
Geometric mean average precision,0.5862068965517241
Blind feedback,0.5862068965517241
LIBLINEAR algorithm,0.5517241379310345
Subjective sensors,0.5172413793103449
Breakeven point precision,0.5172413793103449
SDI tion),0.48275862068965514
Negative feelings,0.48275862068965514
Compression ratio,0.48275862068965514
Personalization in web searches,0.48275862068965514
Supervised LDA,0.48275862068965514
Generative models,0.48275862068965514
Map Reduce paradigm,0.48275862068965514
Integrity in text data access,0.4482758620689655
Mixture models,0.4482758620689655
TopicExtraction operator,0.4482758620689655
Vectors,0.4482758620689655
Centroid vectors,0.4482758620689655
Collection language model,0.41379310344827586
Statistical language models,0.41379310344827586
Effectiveness in search engine evaluation,0.41379310344827586
Search engine evaluation,0.41379310344827586
Neural language model,0.41379310344827586
Search engine toolkits,0.41379310344827586
Correlations,0.41379310344827586
Search engine implementation,0.41379310344827586
Integer compression,0.41379310344827586
Lifelong learning in web searches,0.3793103448275862
Clickthroughs,0.3793103448275862
Bitwise compression,0.3793103448275862
Log-likelihood function,0.3793103448275862
Filters,0.3793103448275862
Multiple-level sentiment analysis,0.3793103448275862
Mean reciprocal rank,0.3793103448275862
NDCG@k score,0.3793103448275862
Unimodel Beta,0.3793103448275862
Unigrams,0.3793103448275862
Properties,0.3793103448275862
NetPLSA model,0.3793103448275862
Reciprocal ranks,0.3793103448275862
Component models,0.3448275862068966
Spiders for web searches,0.3448275862068966
Vertical search engines,0.3448275862068966
Office documents,0.3448275862068966
Logarithms in probabilistic retrieval model,0.3448275862068966
Files in Google File System,0.3448275862068966
Two-component mixture model,0.3448275862068966
Anaphora resolution in natural language processing,0.3448275862068966
Indexes,0.3448275862068966
Metadata,0.3448275862068966
Segmentation in LARA,0.3448275862068966
Learning modules in content-based filtering,0.3448275862068966
Crawlers,0.3103448275862069
Lucene search engine toolkit,0.3103448275862069
Sublinear transformation,0.3103448275862069
Sticky phrases in Brown clustering,0.3103448275862069
Signed-rank tests in search engine evaluation,0.3103448275862069
Integration of information access in web searches,0.3103448275862069
Bigram language model,0.3103448275862069
Multi-level judgments in search engine evaluation,0.3103448275862069
Queries,0.27586206896551724
Forward indexes,0.27586206896551724
Term vectors,0.27586206896551724
Interactive task support in web searches,0.27586206896551724
Inverted indexes,0.27586206896551724
Domains,0.27586206896551724
Navigating maps in multimode interactive access,0.27586206896551724
Usability in search engine evaluation,0.27586206896551724
Language models,0.27586206896551724
gz_corpus input format,0.27586206896551724
sLDA,0.27586206896551724
NLP,0.27586206896551724
Multimode interactive access,0.27586206896551724
Accuracy in search engine evaluation,0.27586206896551724
Citations,0.27586206896551724
Sign tests in search engine evaluation,0.24137931034482757
Unary bitwise compression,0.24137931034482757
Topic analysis,0.24137931034482757
Geographical networks,0.24137931034482757
Content-based filtering,0.24137931034482757
Terms,0.24137931034482757
Access modes,0.24137931034482757
Gamma bitwise compression,0.24137931034482757
Random variables,0.24137931034482757
n-gram language models,0.24137931034482757
Bigrams,0.24137931034482757
Hidden variables,0.24137931034482757
Gamma function,0.24137931034482757
Searches,0.24137931034482757
Text-based prediction,0.20689655172413793
Inferences,0.20689655172413793
Ranking,0.20689655172413793
Union operator,0.20689655172413793
Expected value in Beta distribution,0.20689655172413793
Interactive access,0.20689655172413793
Scikit Learn toolkit,0.20689655172413793
Policy design,0.20689655172413793
LIBSVM package,0.20689655172413793
Efficiency,0.20689655172413793
Word relations,0.20689655172413793
Linearly separable data points in linear classifiers,0.20689655172413793
Syntagmatic relations,0.20689655172413793
MRR,0.20689655172413793
Maximum likelihood estimation,0.20689655172413793
Distinguishing categories,0.20689655172413793
classify command,0.20689655172413793
list_filter filter,0.20689655172413793
Entropy,0.1724137931034483
Variables,0.1724137931034483
Document language model,0.1724137931034483
Scorers,0.1724137931034483
Independent random variables,0.1724137931034483
Google File System,0.1724137931034483
Index sharding,0.1724137931034483
Sentiment analysis,0.1724137931034483
CG,0.1724137931034483
International Components for Unicode,0.1724137931034483
Pooling in search engine evaluation,0.1724137931034483
Pearson correlation,0.1724137931034483
Block compression,0.1724137931034483
Parallel indexing and searching,0.1724137931034483
TISs,0.1724137931034483
Marginal probabilities,0.1724137931034483
Matrices,0.1724137931034483
Mining,0.1724137931034483
Beta distribution,0.1724137931034483
Transformations,0.1724137931034483
Bayesian inference,0.1724137931034483
map function,0.1724137931034483
Cold start problem,0.1724137931034483
Recommender systems,0.1724137931034483
Configuration files,0.1724137931034483
Dirichlet distribution,0.1724137931034483
Data mining,0.1724137931034483
Dependent random variables,0.1724137931034483
MLE,0.13793103448275862
Utility,0.13793103448275862
Opinion mining,0.13793103448275862
Q-function,0.13793103448275862
Text information systems,0.13793103448275862
Art retrieval models,0.13793103448275862
Push access mode,0.13793103448275862
Multinomial parameters in Bayesian estimate,0.13793103448275862
Massung,0.13793103448275862
Adjacency matrices,0.13793103448275862
Content in opinion mining,0.13793103448275862
Link analysis,0.13793103448275862
length_filter filter,0.13793103448275862
Associations mining,0.13793103448275862
Decision modules in content-based filtering,0.13793103448275862
Long-range jumps in multimode interactive access,0.13793103448275862
